area,type,room,sqm,price,price/sqm
Katajanokka,kt,"1h, avok, kph","29,00",262000,9034
Puotinharju,kt,1h+kk,"31,00",132000,4258
Munkkiniemi,kt,"1h, kk, kph","34,50",212178,6150
Etelä-haaga,kt,"1h, avok, alkov...","23,00",185000,8043
Etelä-haaga,kt,"1h, kk, kph, pa...","27,40",211000,7701
Munkkiniemi,kt,"1h, avok, kph, ...","30,50",390000,12787
Vallila,kt,"1-2h, k, alk., ...","48,00",284000,5917
Kalasatama,kt,,"28,00",265000,9464
Lassila,kt,"1h, kk, kph, vh...","30,50",160000,5246
Töölö,kt,1h + k,"48,00",361000,7521
Kaarela,kt,"1h, kk","23,00",140000,6087
Itäkeskus,kt,1h+kk,"33,00",124000,3758
Kluuvi,kt,"1h, kk, kph, vh","24,00",250000,10417
Pihlajamäki,kt,1 h+avokeitti&#...,"32,00",118000,3688
Malmi,kt,"1h, k, kph/wc ,...","35,00",109000,3114
Lauttasaari,kt,1h+keittiö...,"43,00",286000,6651
Munkkivuori,kt,1H+KK,"22,00",145000,6591
Ylä-malmi,kt,"1h, kk, parveke","30,50",135000,4426
Torkkelinmäki,kt,"1h, avok, kph","25,50",200000,7843
Lauttasaari,kt,1h+kt+viherhuone,"30,50",301000,9869
Kallio,kt,"1h, kk, kph, ra...","33,50",220000,6567
Taka-töölö,kt,1h+kk,"20,50",188500,9195
Lauttasaari,kt,1 h + kk,"22,00",198000,9000
Töölö,kt,1h+alkovi,"26,80",206500,7705
Pukinmäki,kt,"1h, k, kph, vh,...","29,00",127000,4379
Konala,kt,1h+kk,"31,00",155000,5000
Malmi,kt,1h+kk,"31,50",152500,4841
Lassila,kt,"1h, avokeitti&#...","35,00",192000,5486
Pihlajamäki,kt,"1h, avok, kph/wc","24,50",122500,5000
Käpylä,kt,1h+kk+kh,"26,00",169000,6500
Kallio,kt,"1h, avokeitti&#...","28,00",201000,7179
Ullanlinna,kt,1h + kk,"24,00",235000,9792
Maunula,kt,"1h, kk Yj. muka...","24,10",167500,6950
Länsi-pakila,kt,"1h, kk, kph, p ...","31,30",195000,6230
Ullanlinna,kt,"2 h, avokeitti&...","34,10",280000,8211
Punavuori,kt,"1h, k, alkovi, kph","42,00",385000,9167
Lauttasaari,kt,1h+kk,"30,00",235000,7833
Lassila,kt,"1h, kk, kph, s,...","37,00",155000,4189
Meilahti,kt,"1 h, kk, kh, wc...","23,00",175000,7609
Etelä-haaga,kt,"1h, kk, kph, pa...","25,00",180000,7200
Kallio,kt,1h+kk+kph,"26,00",200000,7692
Munkkiniemi,kt,1h +kk,"30,00",220000,7333
Ullanlinna,kt,"1h,k","42,00",440000,10476
Kamppi,kt,"1h, avok, kph","21,50",230000,10698
Torkkelinmäki,kt,"1h, avok, et, kph","32,50",267000,8215
Kallio,kt,"1h, avok, wc","22,00",156000,7091
Kalasatama,kt,"1h, avok, lasit...","23,00",250000,10870
Kallio,kt,"1h, avok, kph, ...","25,00",205000,8200
Pajamäki,kt,1h+kk,"31,00",182000,5871
Pasila,kt,"1h,kt","27,00",198500,7352
Hermanni,kt,"1h, k, kph, alk...","41,00",271099,6612
