area,type,room,sqm,price,price/sqm,rooms
Malmi,Kerrostalo,"2h, k, kph/s, w...",56.0,202000,3607,2
Toukola,Kerrostalo,2h+kk+kph,40.0,249000,6225,2
Hermanni,Kerrostalo,2h+kk+s+parveke ,52.0,354000,6808,2
Meri-rastila,Kerrostalo,2h+kk+s+parveke...,40.5,138000,3407,2
Etelä-haaga,Kerrostalo,"2h, kk, kh, p (...",42.0,259000,6167,2
Etelä-haaga,Kerrostalo,"2h, k, kph, vh, p.",44.5,277000,6225,2
Hermanni,Kerrostalo,2h+k+m.alk,51.0,281000,5510,2
Alppila,Kerrostalo,"2h, k, kph/s, e...",56.5,355000,6283,2
Tapulikaupunki,Kerrostalo,"2 h, k, kh/wc, ...",58.5,160000,2735,2
Pitäjänmäki,Kerrostalo,"2h, k, s ja las...",60.5,288000,4760,2
Siltamäki,Kerrostalo,"2h, k, vh, lasi...",62.0,142500,2298,2
Etu-töölö,Kerrostalo,"2 h, k, alkovi,...",68.5,525000,7664,2
Ullanlinna,Kerrostalo,2h+k+kh,85.0,840000,9882,2
Herttoniemi,Kerrostalo,2h+avokeitti...,41.5,277500,6687,2
Pohjois-haaga,Kerrostalo,"2h, kk, kph, vh",45.0,230200,5116,2
Aurinkolahti,Kerrostalo,"2h, kk, sauna j...",54.5,275000,5046,2
Myllypuro,Kerrostalo,2h+k+kph+parveke,59.0,199000,3373,2
Pitäjänmäki,Kerrostalo,2h+k+kph-s+vh+l...,64.5,178000,2760,2
Alppiharju,Kerrostalo,"2h, k, kph, alk...",57.0,392000,6877,2
Harju,Kerrostalo,"2h, kk, kph, p",42.0,255000,6071,2
Ullanlinna,Kerrostalo,2h+kk+kph,47.5,375000,7895,2
Kalasatama,Kerrostalo,"2h, kt, s, kph,...",51.5,415000,8058,2
Katajanokka,Kerrostalo,"2h, avok, rt, k...",53.5,496000,9271,2
Ullanlinna,Kerrostalo,"2h, k, kph",53.5,525000,9813,2
Malminkartano,Kerrostalo,"2h, k, s, kph/w...",57.0,154000,2702,2
Kallio,Kerrostalo,"3h, k, kph, p",60.5,399000,6595,3
Puotila,Kerrostalo,3h+k+kph+parveke,64.0,238000,3719,3
Myllypuro,Kerrostalo,"3h, k, kph, las. p",70.0,199000,2843,3
Myllypuro,Kerrostalo,"3h, k, kph, p",70.0,200000,2857,3
Haaga,Kerrostalo,"3h,k,kph,p.",56.0,307000,5482,3
Reimarla,Kerrostalo,3h+k+et+kph+vh+...,68.0,222000,3265,3
Kannelmäki,Kerrostalo,3 h+k,60.4,243280,4028,3
Pihlajamäki,Kerrostalo,3h+k+kph+p (yj....,73.0,272000,3726,3
Kamppi,Kerrostalo,"3h, avok, kph, p",73.0,668000,9151,3
Munkkiniemi,Kerrostalo,3h+halli+k+kph+...,110.5,850000,7692,3
Taka-töölö,Kerrostalo,3h+k+halli+s+kp...,86.0,620000,7209,3
Mellunmäki,Kerrostalo,3h+k+kph+parveke,70.0,129000,1843,3
Etelä-haaga,Kerrostalo,"3 h,k, erill.wc...",72.0,407000,5653,3
Lauttasaari,Kerrostalo,"2-3 h, k, vh, kph",56.0,465000,8304,2
Pohjois-haaga,Kerrostalo,3h+k+kph+vh+p,62.0,313000,5048,3
Ruskeasuo,Kerrostalo,3h+k+kph+parv. ...,63.8,439000,6881,3
Pasila,Kerrostalo,3h + k + vh + s...,65.5,355000,5420,3
Malmi,Kerrostalo,3h+k+s,73.0,205000,2808,3
Jakomäki,Kerrostalo,"3h, k, kph/wc +...",74.5,165000,2215,3
Viikki,Kerrostalo,"3h, k, kph, s, ...",87.0,355000,4080,3
Tali,Kerrostalo,3h + k + sauna,78.5,382000,4866,3
Oulunkylä,Kerrostalo,"3h, avok, kph, ...",53.5,304000,5682,3
Töölö,Kerrostalo,3 h + k,60.0,430000,7167,3
Laajasalo,Kerrostalo,"3h, k, kph, p",63.0,265000,4206,3
Meilahti,Kerrostalo,"3h, kph, avokei...",66.5,430000,6466,3
Roihuvuori,Kerrostalo,"3h, k, kph, vh",68.0,283000,4162,3
Käpylä,Kerrostalo,3h+kk+parveke,55.0,356000,6473,3
Lauttasaari,Kerrostalo,3 h+k,68.5,380000,5547,3
Laajasalo,Kerrostalo,3h+k+kph+vh,71.5,230000,3217,3
Kruununhaka,Kerrostalo,"3h, k, kph, wc",78.8,625000,7931,3
Kamppi,Kerrostalo,3h+k+wc+kph ( 1...,79.0,600000,7595,3
Munkkiniemi,Kerrostalo,3h+k+kph+wc+vh+p,94.0,670000,7128,3
Kaarela,Kerrostalo,3 h + k,66.0,256000,3879,3
Patola,Kerrostalo,"3h,k,kph,erill....",76.0,200000,2632,3
Taka-töölö,Kerrostalo,"3h, k, kph, wc,...",79.0,430000,5443,3
Suutarila,Kerrostalo,"3h, k, kph, wc, p",80.0,160000,2000,3
Oulunkylä,Kerrostalo,3h+k+s+lasitett...,80.5,317000,3938,3
Munkkiniemi,Kerrostalo,3 h+k+halli,83.5,705000,8443,3
Tapanila,Kerrostalo,3h + k + s,68.0,269000,3956,3
Konala,Kerrostalo,"3h, keittiö...",68.0,280000,4118,3
Oulunkylä,Kerrostalo,"3 h, k, rt, kh,...",71.0,359000,5056,3
Keskusta,Kerrostalo,"3h,k,kph,erill....",72.0,560000,7778,3
Vallila,Kerrostalo,"3h, k, vh, eril...",90.0,515000,5722,3
Etu-töölö,Kerrostalo,"3h, avok, kph, ...",94.0,935000,9947,3
Roihuvuori,Kerrostalo,3h+k,68.0,406000,5971,3
Pihlajamäki,Kerrostalo,3-4h+k+kph+parv. ,69.0,171000,2478,3
Laajasalo,Kerrostalo,"3 h, k, kph, wc...",74.0,270000,3649,3
Lauttasaari,Kerrostalo,3h+k+kph+s,75.5,476100,6306,3
Käpylä,Kerrostalo,"3h, kk, kph, wc...",50.5,306000,6059,3
Kamppi,Kerrostalo,3h+avok+kph,65.0,500000,7692,3
Munkkivuori,Kerrostalo,3 h+k+vh+kph+la...,66.0,385000,5833,3
